     11.7868      1.94813 -0.000469422
     11.7883      1.95551  0.000400048
     12.0063      1.91726  -0.00176941
     12.0409      1.82858  -0.00780462
     12.0526      1.82925   -0.0110776
      12.074      1.82687  -0.00733734
     12.0856      1.82604  0.000937263
     12.0975       1.8289   0.00767039
     12.0263      1.87262    0.0166874
     12.0474      1.87296    0.0248195
     12.0612      1.86859    0.0199639
     12.0751      1.87101    0.0193778
     12.0861      1.87156    0.0187236
     12.0443      1.95232    0.0171137
     12.0654      1.95306    0.0215665
     12.0784        1.952   0.00894217
     12.1018      1.95232   -0.0100934
     12.1142      1.95267   -0.0168802
      12.127      1.94504    -0.031762
     12.1483      1.94066   -0.0518926
     12.1604      1.93981   -0.0482746
     12.1731      1.94154   -0.0509412
     12.1826      1.94045   -0.0591306
     12.1346      1.92063   -0.0614324
     12.1568      1.91747   -0.0730212
     12.1719      1.91925   -0.0673073
     12.1834      1.91926   -0.0775594
     12.2164      1.91152   -0.0673072
     12.1622      1.85545   -0.0666968
      12.197      1.85677   -0.0680375
     12.2157      1.85555   -0.0568915
     12.2334       1.8534   -0.0489766
     12.2478      1.85133   -0.0455617
      12.311      1.90745   -0.0274483
      12.339      1.90824   -0.0174298
      12.355      1.90837   -0.0181987
     12.3605      1.89866   -0.0251981
     12.3744      1.90122   -0.0305064
     12.4294      1.87818   -0.0447464
     12.4449      1.87994   -0.0594197
     12.4726      1.87692   -0.0700217
     12.5005      1.87392   -0.0820632
     12.5386       1.9085    -0.082268
     12.5665      1.90685   -0.0874915
     12.5815      1.90546    -0.104958
     12.5968        1.903    -0.114355
     12.6265       1.9002    -0.133171
     12.6579      1.83032    -0.154319
     12.6747      1.82855    -0.165811
     12.6896      1.82366    -0.168413
     12.7169      1.82011    -0.169536
      12.745      1.81296    -0.168361
     12.7459      1.79331    -0.169794
     12.7621      1.79118    -0.173625
     12.7921       1.7867      -0.1735
     12.8236      1.78234    -0.181175
     12.8401      1.77776    -0.179939
      12.856      1.77426    -0.183777
     12.8246      1.73988    -0.190587
     12.8586       1.7347    -0.202192
     12.8936       1.7282    -0.202432
     12.9112      1.72498    -0.199776
     12.9257      1.72657    -0.199718
     13.0082      1.70543    -0.203394
     13.0247      1.70058    -0.210976
     13.0416      1.70119    -0.219704
     13.0727      1.69263    -0.242187
     13.0893      1.68851    -0.257155
      13.101      1.74959    -0.280978
     13.1351      1.73713    -0.307561
      13.153      1.73142    -0.331035
     13.1706      1.72377    -0.356893
     13.1805      1.64623     -0.39794
     13.2098      1.62963     -0.43255
     13.2256      1.62256    -0.443588
      13.241      1.61367    -0.445738
     13.2546      1.60837    -0.445324
      13.284      1.59187    -0.440446
     13.3337      1.63128    -0.442842
     13.3492      1.62409    -0.444703
     13.3627      1.61874    -0.442385
     13.4051      1.59435    -0.481333
     13.4887      1.53501    -0.503735
     13.5176       1.5217    -0.521465
      13.532      1.51294    -0.531702
     13.5467       1.5047    -0.542891
     13.5747      1.48564    -0.559098
     13.5912      1.47756    -0.568815
     13.5914      1.48588    -0.585147
     13.6183      1.46621    -0.595782
     13.6339      1.45535    -0.607701
     13.6485      1.44469    -0.614495
     13.6646      1.44048    -0.624742
     13.6458      1.39736    -0.636632
      13.661      1.38542    -0.645509
     13.6891      1.36431    -0.643787
     13.7021      1.35155    -0.637717
     13.7158      1.34221    -0.633856
     13.7248      1.34364    -0.630532
     13.7499      1.32586    -0.621565
     13.7623       1.3144    -0.629372
     13.7755      1.30452    -0.628576
     13.7868      1.29669     -0.63045
      13.826      1.24045    -0.635718
     13.8495      1.22129    -0.642117
     13.8636      1.21323    -0.642793
     13.8743       1.2041       -0.646
     13.8975      1.18139    -0.650077
     13.9523      1.14941    -0.656808
     13.9652      1.14009    -0.660317
     13.9762      1.13219    -0.662134
     14.0007      1.11156    -0.676941
     14.0555      1.12399     -0.68784
     14.0675      1.11373    -0.695027
     14.0766      1.10493    -0.700425
     14.1018      1.08655    -0.726271
     14.1191      1.06242     -0.74653
     14.1311      1.05123    -0.757667
     14.1475      1.06418    -0.760963
     14.1833      1.03474    -0.776291
     14.1948      1.02178    -0.783921
     14.2062      1.00986    -0.788795
      14.195     0.954936    -0.791374
     14.2151     0.931499    -0.789825
     14.2267     0.919846    -0.781651
     14.2408     0.909793    -0.761799
     14.2632     0.886212    -0.733714
     14.2802     0.877594    -0.717005
     14.3019      0.80628    -0.687791
     14.3275     0.787599    -0.649928
     14.3419     0.778532     -0.62112
     14.3567     0.769819    -0.592001
      14.369     0.760155    -0.578001
     14.4392     0.773285    -0.514038
     14.4708     0.757402    -0.466399
     14.4877     0.752459     -0.43681
     14.5002     0.741459    -0.410453
      14.517      0.73395      -0.3819
     14.4965     0.643409    -0.307946
     14.5296     0.636396    -0.253095
      14.549     0.636658      -0.2196
     14.5672      0.63033    -0.187175
     14.5817       0.6248    -0.178768
     14.6413     0.602712     -0.10314
     14.7848     0.807324    0.0274014
     14.7854     0.807084    0.0264012
     14.8223     0.804789    0.0187709
     14.7879     0.738619  -0.00259126
     14.8051     0.741575   -0.0188598
     14.8211     0.742825   -0.0260158
     14.8569     0.739218   -0.0233584
     14.8875     0.745291   -0.0172012
      14.947     0.714199   -0.0167157
     14.9636      0.71408   -0.0130882
     14.9781     0.714533    -0.011938
      15.012     0.717772   0.00255572
     15.0461     0.716954    0.0101452
     15.0641     0.718739    0.0130292
     15.1337     0.789021    0.0156729
     15.1658     0.790486    0.0144289
     15.1801      0.79033   0.00597012
     15.2138     0.789052    -0.025344
     15.2086     0.728726    -0.034123
     15.2253     0.731355    -0.044604
     15.2547     0.733143   -0.0509358
     15.2922     0.730189   -0.0432788
     15.3072     0.728092   -0.0342358
     15.3256     0.728981   -0.0351352
     15.3654     0.756194   -0.0317107
     15.4012     0.752786   -0.0230541
      15.416     0.751822   -0.0270374
     15.4342      0.75371   -0.0266636
     15.4503     0.754549   -0.0350645
      15.478     0.724725   -0.0308987
